t_us,lat_us,aiming,hasTarget,classId,conf,cx,cy,w,h,emit_dx,emit_dy,mscale_x,mscale_y,inject_cum_x
925491,1267,1,0,-1,0,0,0,0,0,0,0,0,0,0
927289,919,1,0,-1,0,0,0,0,0,0,0,0,0,0
929579,895,1,0,-1,0,0,0,0,0,0,0,0,0,0
934851,892,1,0,-1,0,0,0,0,0,0,0,0,0,0
940637,893,1,0,-1,0,0,0,0,0,0,0,0,0,0
946216,888,1,0,-1,0,0,0,0,0,0,0,0,0,0
954634,890,1,0,-1,0,0,0,0,0,0,0,0,0,0
959390,889,1,0,-1,0,0,0,0,0,0,0,0,0,0
966673,892,1,0,-1,0,0,0,0,0,0,0,0,0,0
975296,889,1,0,-1,0,0,0,0,0,0,0,0,0,0
981740,891,1,0,-1,0,0,0,0,0,0,0,0,0,0
989258,889,1,0,-1,0,0,0,0,0,0,0,0,0,0
997545,889,1,0,-1,0,0,0,0,0,0,0,0,0,0
8868807,1225,1,1,1,0.431584,170.908,148.016,11.8398,11.6406,2,-1,1,1,0
8871297,1175,1,1,1,0.471223,171.455,148.957,11.6055,11.2578,4,-1,1,1,0
8872460,984,1,1,1,0.420599,171.807,148.998,11.5586,11.1445,3,-1,1,1,0
8877687,1157,1,1,1,0.465387,172.207,149.273,11.2266,11.2188,4,-1,1,1,0
8884062,1165,1,1,1,0.512693,172.434,149.211,11.2422,11.2656,4,-1,1,1,0
8889692,1161,1,1,1,0.533155,172.855,149.619,10.8516,10.9883,4,-1,1,1,0
8897709,1166,1,1,1,0.451326,173.094,149.545,10.6875,10.7383,4,-1,1,1,0
8903944,1162,1,1,1,0.506836,173.344,149.836,10.7812,10.7188,4,-1,1,1,0
8912330,1160,1,1,1,0.407805,173.56,150.227,10.4434,10.7266,4,0,1,1,0
8918364,1168,1,1,1,0.37479,173.719,150.031,10.0625,10.4062,4,-1,1,1,0
8926024,1169,1,1,1,0.370224,173.413,149.6,10.0879,10.0195,5,-1,1,1,0
8931831,1159,1,1,1,0.398875,173.436,149.721,9.85547,9.85547,4,-2,1,1,0
8940913,1160,1,1,1,0.370224,173.602,149.256,9.26562,9.20703,4,-1,1,1,0
8947092,1157,1,1,1,0.446495,173.912,149.445,9.15234,9.5625,4,-2,1,1,0
