t_us,lat_us,aiming,hasTarget,classId,conf,cx,cy,w,h,emit_dx,emit_dy,mscale_x,mscale_y,inject_cum_x
1887883,1273,1,1,1,0.3863,155.412,126.502,10.0195,13.1758,0,-11,1,1,0
1889828,913,1,1,1,0.225417,155.941,126.754,10.8984,13.6328,-1,-12,1,1,0
1892160,895,1,1,1,0.286568,157.223,126.811,10.7578,14.8242,0,-11,1,1,0
1898948,893,1,1,1,0.340704,159.193,125.598,10.9258,14.9453,0,-12,1,1,0
1906301,895,1,1,1,0.401688,161.213,137.812,10.6445,14.3281,0,-4,1,1,0
1913578,894,1,1,1,0.474631,162.268,144.221,10.793,12.9023,0,-1,1,1,0
1920328,893,1,1,1,0.74614,163.484,151.525,11.1875,13.2617,1,1,1,1,0
1927249,891,1,1,1,0.460046,164.23,153.625,10.5469,13.7656,1,1,1,1,0
1934085,897,1,1,1,0.404978,165.919,154.574,10.7793,14.1328,1,1,1,1,0
1941124,891,1,1,1,0.637933,166.074,154.062,10.9766,14.1875,1,0,1,1,0
1947236,891,1,1,1,0.708213,167.619,152.988,10.6367,13.3984,2,0,1,1,0
1954910,889,1,1,1,0.695958,167.666,152.303,10.2305,12.9883,1,0,1,1,0
1961646,890,1,1,1,0.607663,168.572,152.291,10.9961,14.3086,2,0,1,1,0
1969126,891,1,1,1,0.647798,168.572,152.369,11.293,14.3086,2,0,1,1,0
1975020,890,1,1,1,0.756356,169.748,152.264,10.8086,14.7773,3,0,1,1,0
1982830,892,1,1,1,0.743169,170.021,152.564,11.6211,15.293,2,0,1,1,0
1989513,892,1,1,1,0.749087,168.412,152.27,11.3086,14.1328,2,0,1,1,0
1996324,889,1,1,1,0.241491,169.607,152.98,11.8945,16.4453,3,0,1,1,0
2003426,892,1,1,1,0.639736,169.834,153.039,12.1523,16.125,2,0,1,1,0
2010559,893,1,1,1,0.379378,169.707,153.004,12.8516,16.8359,3,0,1,1,0
2017998,890,1,1,1,0.356224,169.66,153.105,13.8047,17.5391,2,0,1,1,0
2023836,891,1,1,1,0.685108,169.787,153.205,13.8867,17.6445,3,0,1,1,0
2031396,891,1,1,1,0.326379,169.855,153.1,14.6797,17.332,2,0,1,1,0
2038629,891,1,1,1,0.553505,170.305,153.357,15.125,17.6211,3,1,1,1,0
2044939,890,1,1,1,0.694303,170.211,153.229,14.7188,18.0195,3,0,1,1,0
2051657,891,1,1,1,0.611382,170.559,153.498,14.6797,19.1289,2,0,1,1,0
2059426,893,1,1,1,0.216674,170.861,153.23,14.918,17.5859,3,1,1,1,0
2065256,893,1,1,1,0.300746,170.924,153.09,14.9961,18.4141,3,0,1,1,0
2072348,893,1,1,1,0.808673,172.039,153.48,16,19.7578,3,0,1,1,0
2080231,889,1,1,1,0.775945,172.504,152.898,14.2266,19.3438,4,1,1,1,0
2086306,892,1,1,1,0.783326,172.557,153.506,14.8086,19.5195,3,0,1,1,0
2093795,891,1,1,1,0.475605,172.535,153.58,15.1641,19.2148,4,0,1,1,0
2100800,891,1,1,0,0.246716,163.762,194,43.2266,75.9375,0,3,1,1,0
2107956,894,1,1,0,0.602997,163.816,189.867,44.9922,82.8594,0,0,1,1,0
2114686,893,1,1,0,0.543832,163.305,187.406,44.9844,88.4375,1,-1,1,1,0
2121731,892,1,1,0,0.750918,164.793,186.797,48.7891,89.3438,0,-1,1,1,0
2128491,893,1,1,0,0.675764,166.719,186.703,47.5625,91.3438,2,-1,1,1,0
2135749,891,1,1,0,0.424412,166.961,187.047,48.7969,92.9062,1,-1,1,1,0
2142505,893,1,1,0,0.808673,169.059,187.547,53.6328,92.9062,2,-1,1,1,0
2149330,892,1,1,0,0.823043,172.438,186.273,54.375,89.2969,4,-1,1,1,0
2156190,891,1,1,0,0.851705,175.016,183.875,46.4062,92.625,4,-3,1,1,0
2163408,891,1,1,0,0.766291,176.086,186.07,42.7656,92.3594,6,-1,1,1,0
2170228,893,1,1,0,0.737538,172.836,190.586,50.7344,89.9219,4,0,1,1,0
2176585,893,1,1,0,0.672761,168.297,191.781,55.4688,83.6875,2,1,1,1,0
2184787,892,1,1,0,0.743914,163.934,190.969,61.3047,82.375,0,0,1,1,0
2191058,891,1,1,0,0.810779,166.797,190.891,49.0938,88.7812,1,0,1,1,0
2197850,890,1,1,0,0.627496,164.984,190.336,52.9375,88.7969,1,0,1,1,0
2205006,893,1,1,0,0.841567,165,189.922,52.5625,87.6562,1,0,1,1,0
2212259,893,1,1,0,0.847717,165.18,190.281,53.2344,87.75,1,0,1,1,0
2218842,893,1,1,0,0.839472,164.625,190.125,51.5,87,1,0,1,1,0
2225786,892,1,1,0,0.827548,164.242,189.852,51.8906,86.9219,0,0,1,1,0
2232850,893,1,1,0,0.769078,162.914,190.578,51.9531,85.8438,1,0,1,1,0
2240004,892,1,1,0,0.833595,164.32,190.359,49.5156,85.6562,0,0,1,1,0
2246621,892,1,1,0,0.833052,164.758,190.422,49.1094,83.7188,1,0,1,1,0
2253542,894,1,1,0,0.831416,163.305,190.891,52.4531,83.4062,1,0,1,1,0
2258950,893,1,1,0,0.863159,163.359,191.094,52,84.0625,0,0,1,1,0
2267664,893,1,1,0,0.855609,162.844,191.797,51.8125,85.3438,1,0,1,1,0
2274341,895,1,1,0,0.709422,162.047,192.039,50.2188,85.2969,0,0,1,1,0
2281699,891,1,1,0,0.82643,161.93,192.312,51.1719,87.375,0,1,1,1,0
2288613,892,1,1,0,0.823611,160.984,192.586,51.9062,85.4219,0,0,1,1,0
2295177,894,1,1,0,0.840523,160.461,192.328,50.6406,83.8438,0,0,1,1,0
2302059,893,1,1,0,0.86905,159.625,192.172,51.75,85.5938,0,1,1,1,0
2309197,894,1,1,0,0.868158,159.805,192.578,52.6719,86.4688,0,0,1,1,0
2316291,893,1,1,0,0.877688,159.547,192.547,53.3438,86.5312,0,0,1,1,0
2322972,892,1,1,0,0.872567,158.867,191.906,54.0469,86.0625,0,0,1,1,0
2330131,892,1,1,0,0.844154,158.844,191.938,54.3125,84.75,0,1,1,1,0
2337234,893,1,1,0,0.652684,159.062,191.922,52.375,84.3438,0,0,1,1,0
2343908,894,1,1,0,0.839998,158.156,192,53.6875,84.625,0,0,1,1,0
2350609,894,1,1,0,0.758151,157.73,191.453,55.3516,84.6562,0,0,1,1,0
2357809,893,1,1,0,0.766291,154.375,191.766,56.125,84.4062,-1,1,1,1,0
2365186,892,1,1,0,0.780663,153.332,190.906,56.0234,84.75,-2,0,1,1,0
2370951,890,1,1,0,0.660173,151.086,190.109,52.8594,83.2812,-2,0,1,1,0
2378628,893,1,1,0,0.75274,149.586,188.797,54.9531,87.4062,-3,0,1,1,0
2385549,892,1,1,0,0.610454,150.055,188.656,52.6094,84.3125,-2,0,1,1,0
2391839,893,1,1,0,0.70416,149.867,189.359,54.5156,84.4062,-3,0,1,1,0
2399370,894,1,1,0,0.750553,149.977,189.414,54.0781,85.0469,-2,0,1,1,0
