t_us,lat_us,aiming,hasTarget,classId,conf,cx,cy,w,h,emit_dx,emit_dy,mscale_x,mscale_y,inject_cum_x
49854,1264,0,1,0,0.86362,239.281,156.047,64.1875,80.8438,27,-10,1,1,0
100040,1178,0,1,0,0.82133,237.125,155.766,65.5,80.6562,28,-11,1,1,0
153026,1177,0,1,0,0.73029,231.281,155.18,56.8125,80.0156,28,-12,1,1,0
206498,1169,0,1,0,0.329177,221.152,154.578,42.3672,78.3438,26,-15,1,1,0
257730,1164,0,1,0,0.551574,209.211,157.109,30.4844,78.2188,18,-14,1,1,0
311402,1161,0,1,0,0.409221,199.766,156.516,31.2812,78.9062,12,-14,1,1,0
363668,1160,0,1,0,0.672331,191.008,154.25,30.5156,83,9,-16,1,1,0
417122,1160,0,1,0,0.688888,181.277,155.859,32.3359,84.4062,3,-16,1,1,0
455966,1161,0,1,0,0.688888,181.277,155.859,32.3359,84.4062,6,-16,1,1,0
469380,893,0,1,0,0.831416,169.898,157.219,37.9219,79.8125,0,-13,1,1,0
524279,1157,0,1,0,0.603464,160.383,156.656,54.2656,80.4375,-2,-15,1,1,0
530332,894,0,1,0,0.804406,158.926,157.086,57.5859,79.4844,-1,-14,1,1,0
537492,892,0,1,0,0.830867,157.828,157.547,59.0938,79.9688,-1,-13,1,1,0
544712,892,0,1,0,0.832508,157.508,159.625,59.4844,74.6875,0,-12,1,1,0
551041,893,0,1,0,0.772186,156.367,159.266,60.8906,74.7812,-1,-12,1,1,0
558143,894,0,1,0,0.823043,154.855,156.484,63.4141,77.7812,-1,-13,1,1,0
565545,892,0,1,0,0.848722,151.18,153.312,64.2656,82.375,-2,-17,1,1,0
571669,890,0,1,0,0.835752,146.562,151.406,65.75,83.25,-5,-19,1,1,0
578569,892,0,1,0,0.833052,141.871,147.633,65.1328,84.6406,-7,-21,1,1,0
585672,893,0,1,0,0.88182,132.906,145.562,67.4375,82.25,-13,-22,1,1,0
592446,892,0,1,0,0.319758,123.652,143.328,67.5703,82.9062,-18,-23,1,1,0
600293,895,0,1,0,0.86905,113.109,139.844,64.0938,85.25,-21,-21,1,1,0
607050,893,0,1,0,0.797557,99.7812,136.133,68.5625,84.3594,-23,-20,1,1,0
613874,894,0,1,0,0.891621,85.7812,131.227,68.0625,87.5781,-24,-18,1,1,0
620585,894,0,1,0,0.88263,71.1016,128.391,69.0469,87.2812,-25,-16,1,1,0
627419,893,0,1,0,0.887006,53.9141,123.547,67.6719,88.0938,-26,-16,1,1,0
634583,894,0,1,0,0.627039,41.4297,118.148,62.1406,86.8281,-26,-15,1,1,0
641352,894,0,1,0,0.771842,28.6016,113.844,57.6094,88.5625,-26,-15,1,1,0
648654,890,0,1,0,0.771842,28.6016,113.844,57.6094,88.5625,-11,-4,0,0,0
656276,892,0,1,0,0.771842,28.6016,113.844,57.6094,88.5625,-10,-3,0,0,0
662604,890,0,1,0,0.771842,28.6016,113.844,57.6094,88.5625,-8,-3,0,0,0
669768,893,0,0,-1,0,0,0,0,0,0,0,0,0,0
675940,892,0,0,-1,0,0,0,0,0,0,0,0,0,0
683212,897,0,0,-1,0,0,0,0,0,0,0,0,0,0
690167,891,0,0,-1,0,0,0,0,0,0,0,0,0,0
696863,892,0,1,0,0.232661,9.75781,119.719,9.45312,17.3125,-28,-8,1,1,0
705103,891,0,1,0,0.232661,9.75781,119.719,9.45312,17.3125,0,0,0,0,0
710812,892,0,1,0,0.232661,9.75781,119.719,9.45312,17.3125,0,0,0,0,0
717791,893,0,1,0,0.572245,18.6992,81.7344,37.4141,87.0312,-19,-23,1,1,0
724760,892,0,1,0,0.687631,23.6562,81.3828,47.8438,86.0156,-21,-22,1,1,0
733365,895,0,1,0,0.838945,33.6328,82.3672,48.3906,85.7344,-21,-22,1,1,0
739701,892,0,1,0,0.871258,45.2578,83.4844,44.1406,84.6562,-19,-22,1,1,0
745482,894,0,1,0,0.838945,53.3203,82.9688,41.0469,83.8125,-19,-24,1,1,0
753054,894,0,1,0,0.510741,55.9688,83.2812,41.1875,83.5625,-20,-23,1,1,0
759990,892,0,1,0,0.849223,54.3281,83.1953,39.5312,84.6094,-19,-22,1,1,0
766549,891,0,1,0,0.835752,52.6016,83.1016,38.5156,83.9219,-21,-22,1,1,0
773115,892,0,1,0,0.806244,50.7578,82.4375,37.8594,84.625,-20,-22,1,1,0
779975,893,0,1,0,0.808068,49.8281,82.5,35.375,84,-20,-22,1,1,0
787376,891,0,1,0,0.77865,48.1328,83.3516,36.4531,84.6719,-21,-22,1,1,0
794897,893,0,1,0,0.842087,47.9141,83.4219,37.4219,86.1562,-21,-22,1,1,0
801620,892,0,1,0,0.835215,46.8047,84.4844,33.6406,85.2188,-21,-21,1,1,0
808155,892,0,1,0,0.846199,44.0078,83.8125,39.4844,81.8125,-21,-21,1,1,0
814878,891,0,1,0,0.864538,43.9766,83.375,69.8281,84.25,-21,-21,1,1,0
