t_us,lat_us,aiming,hasTarget,classId,conf,cx,cy,w,h,emit_dx,emit_dy,mscale_x,mscale_y,inject_cum_x
34275,4067,0,1,0,0.322526,119.992,238.953,41.2656,65.7188,-6,0,0.5,0.5,0
37643,3320,0,1,0,0.802865,117.195,236.812,54.2344,72.625,-4,1,0.5,0.5,0
40956,3287,0,1,0,0.7398,114.023,235.914,48.5781,73.1719,-3,1,0.5,0.5,0
44374,3296,0,1,0,0.742423,108.984,238.578,54.1562,69.2188,-5,1,0.5,0.5,0
51105,3305,0,1,0,0.355776,108.82,238.828,35.0469,59.5312,-5,1,0.5,0.5,0
55238,3290,0,1,0,0.445529,101.414,247.82,52.4219,68.5469,-6,1,0.5,0.5,0
60666,3285,0,1,0,0.74872,100.574,247.812,53.2266,77,-6,1,0.5,0.5,0
64651,3282,0,1,0,0.254971,99.6367,248.172,47.1016,70.0312,-6,1,0.5,0.5,0
71033,3301,0,1,0,0.735262,99.0781,257.82,50.4062,74.6094,-6,1,0.5,0.5,0
74813,3278,0,1,0,0.588416,99.1719,260.281,51.4062,74.6875,-5,1,0.5,0.5,0
81057,3281,0,1,0,0.790206,99.8984,264.414,51.6719,77.3281,-5,1,0.5,0.5,0
87752,3289,0,1,0,0.579876,101.945,264.43,47.8594,76.8594,-6,1,0.5,0.5,0
91945,3278,0,1,0,0.4917,105.805,263.312,34.2344,72,-5,1,0.5,0.5,0
97396,3275,0,1,0,0.299925,98.3672,267.109,39.1406,70.1562,-5,1,0.5,0.5,0
101034,3268,0,1,0,0.31195,99.9453,259.359,23.8281,71.3438,-6,1,0.5,0.5,0
104895,3274,0,1,0,0.390011,100.133,260.109,26.8281,73.2812,-6,1,0.5,0.5,0
109118,3268,0,1,0,0.30198,99.2812,260.906,27.5,73.6875,-6,1,0.5,0.5,0
114245,3273,0,1,0,0.315313,101.469,262.68,23.8125,68.5469,-5,1,0.5,0.5,0
118075,3274,0,1,0,0.47317,90.3438,261.328,48.8438,76.2188,-7,1,0.5,0.5,0
122332,3273,0,1,0,0.696371,91.207,266.016,42.6016,66.7812,-6,0,0.5,0.5,0
126239,3274,0,1,0,0.272605,91.4453,266.219,44.8906,65.4375,-6,1,0.5,0.5,0
129759,3271,0,1,0,0.615088,93.4688,264.422,47.75,70.3438,-6,1,0.5,0.5,0
135130,3269,0,1,0,0.530723,94.5469,263.117,42.4062,74.7344,-6,1,0.5,0.5,0
141633,3271,0,1,0,0.459561,96.6602,263.805,44.1953,74.3594,-6,1,0.5,0.5,0
145472,3274,0,1,0,0.531209,96.6641,264.711,44.9531,70.9531,-6,1,0.5,0.5,0
149190,3254,0,0,-1,0,0,0,0,0,0,0,0,0,0
152914,3270,0,1,0,0.361165,108.031,261.516,26.1875,71.9062,-6,0,0.5,0.5,0
158107,3274,0,1,0,0.349088,104.02,263.531,33.6641,71.9375,-6,1,0.5,0.5,0
162148,3260,0,0,-1,0,0,0,0,0,0,0,0,0,0
166236,3274,0,1,0,0.268943,105.438,261.664,34.3438,78.0781,-6,0,0.5,0.5,0
172057,3274,0,1,0,0.534127,106.82,260.391,35.7656,81.2188,-5,1,0.5,0.5,0
175905,3275,0,1,0,0.302186,107.09,264.391,33.8203,70.3438,-5,1,0.5,0.5,0
181806,3273,0,1,0,0.267026,107.203,261.078,36.6562,79.9062,-5,1,0.5,0.5,0
185951,3275,0,1,0,0.270673,105.984,263.57,40.2188,73.6406,-5,1,0.5,0.5,0
191972,3273,0,1,0,0.317214,107.625,261.164,39.3125,78.8281,-5,2,0.5,0.5,0
196397,3279,0,1,0,0.430147,108.945,261.18,35.3906,77.1094,-6,1,0.5,0.5,0
201622,3265,0,1,0,0.346431,111.035,264.93,36.6328,69.7344,-4,1,0.5,0.5,0
205443,3270,0,1,0,0.531696,112.195,263.516,34.8281,73.4062,-5,1,0.5,0.5,0
208983,3268,0,1,0,0.433022,114.043,263.875,32.2109,67.6875,-5,1,0.5,0.5,0
213050,3267,0,1,0,0.401218,116.113,258.25,30.5703,74,-4,1,0.5,0.5,0
218387,3265,0,1,0,0.306112,115.625,258.234,33.0625,77.5312,-4,1,0.5,0.5,0
222321,3268,0,1,0,0.394201,115.586,258.523,34.0156,79.4531,-5,1,0.5,0.5,0
226273,3267,0,1,0,0.57081,116.688,258.305,33.2188,79.2344,-5,1,0.5,0.5,0
229752,3268,0,1,0,0.307566,116.602,258.68,35.1406,78.7656,-4,1,0.5,0.5,0
235013,3274,0,1,0,0.300746,116.934,258.727,36.4453,79.7969,-4,1,0.5,0.5,0
238808,3276,0,1,0,0.259261,117.141,258.648,36.6875,81.9531,-5,1,0.5,0.5,0
243333,3274,0,1,0,0.516108,119.891,262.312,31.75,69.625,-4,1,0.5,0.5,0
248492,3271,0,1,0,0.617858,120.258,258.695,34.4531,80.1406,-3,1,0.5,0.5,0
252237,3275,0,1,0,0.571766,120.422,258.602,34.6562,79.9531,-5,1,0.5,0.5,0
